,,
Greg's Master Hike Gear List,,
Version: 2025.05,,
Release Notes,,
* The following groupings of gear are used within the tabs of this spreadsheet.,,
* Color coding is designed to make the list more modular and organize.,,
* Red text denotes items that need to be charged.,,
* Tab colors are set to red and meant to change to yellow/green as those items are completed,,
"* Items which are italicized are not weighed, but sub-items to a bag that is weighed",,
,,
0,Backpack,Backpack + loose items
1,Backpack Wearables,Wearables not on-person/clothes bag
2,Shelter,Tent/Hammock
3,Sleeping Bag,Bag
4,Sleeping Pad,Pad
5,Stuff Sacks,Stuff & Compression Sacks
6,Water,Water System
7,Stove,Cookware
8,Food,"Food Pack, Coffee, Hygiene (smellables)"
9,Quick Bag,Quick Access Items
10,Campsite Bag,Campsite Items
11,Clothes,Clothes
OP,Day-Of,On-Person Items
